"ISSN","T.tulo","Estrato","Area"
"15122891","JOURNAL OF HOMOTOPY AND RELATED STRUCTURES","B3","matematica_probabilidade_e_estatistica"
"17599008","JOURNAL OF LOGIC AND ANALYSIS","B4","matematica_probabilidade_e_estatistica"
"10960813","JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS (ONLINE)","B1","matematica_probabilidade_e_estatistica"
"19169795","JOURNAL OF MATHEMATICS RESEARCH","B5","matematica_probabilidade_e_estatistica"
"20900899","JOURNAL OF PHYSICAL MATHEMATICS","C ","matematica_probabilidade_e_estatistica"
"10072861","JOURNAL OF SHANGHAI UNIVERSITY (NATURAL SCIENCE EDITION)","B5","matematica_probabilidade_e_estatistica"
"09720510","JOURNAL OF STATISTICS AND MANAGEMENT SYSTEMS","B5","matematica_probabilidade_e_estatistica"
"14468107","JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY (2001. ONLINE)","B1","matematica_probabilidade_e_estatistica"
"1110256X","JOURNAL OF THE EGYPTIAN MATHEMATICAL SOCIETY","B5","matematica_probabilidade_e_estatistica"
"23795980","LEDGER (ONLINE)","B5","matematica_probabilidade_e_estatistica"
"00138584","L'ENSEIGNEMENT MATH�MATIQUE","B1","matematica_probabilidade_e_estatistica"
"01028545","MATEM�TICA UNIVERSIT�RIA","B4","matematica_probabilidade_e_estatistica"
"10886842","MATHEMATICS OF COMPUTATION (ONLINE)","A1","matematica_probabilidade_e_estatistica"
"16094514","MOSCOW MATHEMATICAL JOURNAL (ONLINE)","A2","matematica_probabilidade_e_estatistica"
"18675778","M�NSTER JOURNAL OF MATHEMATICS","B2","matematica_probabilidade_e_estatistica"
"13105132","NOTES ON NUMBER THEORY AND DISCRETE MATHEMATICS","B5","matematica_probabilidade_e_estatistica"
"20381956","OPEN JOURNAL OF ARCHAEOMETRY","B5","matematica_probabilidade_e_estatistica"
"21617635","OPEN JOURNAL OF DISCRETE MATHEMATICS","B5","matematica_probabilidade_e_estatistica"
"10294937","OPTIMIZATION METHODS AND SOFTWARE","B1","matematica_probabilidade_e_estatistica"
"22195688","PALESTINE JOURNAL OF MATHEMATICS","B5","matematica_probabilidade_e_estatistica"
"10123938","PRO MATHEMATICA (LIMA)","C ","matematica_probabilidade_e_estatistica"
"07971443","PUBLICACIONES MATEM�TICAS DEL URUGUAY","B4","matematica_probabilidade_e_estatistica"
"09184732","QUESTIONS AND ANSWERS IN GENERAL TOPOLOGY","B4","matematica_probabilidade_e_estatistica"
"15186075","REVISTA DA OLIMP�ADA","C ","matematica_probabilidade_e_estatistica"
"15791505","REVISTA DE LA REAL ACADEMIA DE CIENCIAS EXACTAS, F�SICAS Y NATURALES. SERIE A. MATEM�TICAS (ONLINE)","B3","matematica_probabilidade_e_estatistica"
"19305753","SCIENTIFIC COMPUTING (HIGHLANDS RANCH, COLO.)","B5","matematica_probabilidade_e_estatistica"
"24111783","SELECCIONES MATEMATICAS","B5","matematica_probabilidade_e_estatistica"
"13106600","SERDICA MATHEMATICAL JOURNAL","B4","matematica_probabilidade_e_estatistica"
"10957138","SIAM JOURNAL ON CONTROL AND OPTIMIZATION","A1","matematica_probabilidade_e_estatistica"
"10957146","SIAM JOURNAL ON DISCRETE MATHEMATICS","B1","matematica_probabilidade_e_estatistica"
"10957197","SIAM JOURNAL ON SCIENTIFIC COMPUTING (ONLINE)","A1","matematica_probabilidade_e_estatistica"
